scheme,label,seasonal_codes,n_records_total,n_records_with_polygon,n_records_outside_range,pct_with_polygon,pct_outside_range,n_species_with_polygon,median_temp_shift_C,mean_temp_shift_C,median_prec_shift_mm,mean_range_temp_delta_C,mean_range_prec_delta_mm,median_distance_to_edge_km,median_distance_to_centroid_km,dominant_direction_centroid,dominant_direction_edge
seasonal12,SEASONAL 1+2 (resident+breeding),"1,2",1020,779,779,76.4,100,456,1.838996447003928,2.8123442538359296,4.175144504856462,0.7669759836589892,-1.112340931689521,565.9082701580217,1300.13254552913,E,N
seasonal123,SEASONAL 1+2+3 (+non-breeding),"1,2,3",1020,859,859,84.2,100,498,0.04907411339593182,1.2706974578529227,-97.23461004942169,0.7604815736698978,2.3919995141451427,526.2581688279531,1272.0216717413905,NE,N
seasonal12345,All SEASONAL (no filter),"1,2,3,4,5",1020,877,877,86,100,504,0.6079536491378539,1.6234474254328872,-58.8235859238099,0.7640047007775983,0.9077051134246844,478.72690221221023,1262.9724247084787,NE,N
