record_id,species,bl_accepted,bl_match_type,order,province,year,longitude,latitude,has_range_polygon,year_in_scope,centroid_lon,centroid_lat,nearest_edge_lon,nearest_edge_lat,bearing_from_centroid_deg,direction_8_centroid,bearing_from_nearest_edge_deg,direction_8_nearest_edge,centroid_delta_lon_deg,centroid_delta_lat_deg,edge_delta_lon_deg,edge_delta_lat_deg,distance_to_centroid_km,distance_to_nearest_edge_km,point_inside_range
1,Accipiter badius,Accipiter badius,accepted,Accipitriformes,Hunan,2024,111.63,25.19,TRUE,TRUE,104.51769974123981,23.7118288237412,110.19202023744413,24.303991744423627,75.68199301177617,E,55.54558945800795,NE,7.112300258760186,1.478171176258801,1.4379797625558695,0.8860082555763746,740.4233048937527,175.51880727342427,FALSE
2,Accipiter gularis,Accipiter gularis,accepted,Accipitriformes,Xinjiang,2013,88.36,36.47,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Accipiter soloensis,Accipiter soloensis,accepted,Accipitriformes,Gansu,2015,116.22,33.7,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Accipiter soloensis,Accipiter soloensis,accepted,Accipitriformes,Heilongjiang,2018,125.25,49.09,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Accipiter soloensis,Accipiter soloensis,accepted,Accipitriformes,Inner Mongolia,2020,105.66,38.11,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Accipiter trivirgatus,Accipiter trivirgatus,accepted,Accipitriformes,Anhui,2006,117.82,30.23,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Accipiter trivirgatus,Accipiter trivirgatus,accepted,Accipitriformes,Beijing,2013,116.17,39.99,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Accipiter trivirgatus,Accipiter trivirgatus,accepted,Accipitriformes,Gansu,2020,105.4,32.6,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Accipiter trivirgatus,Accipiter trivirgatus,accepted,Accipitriformes,Henan,2008,114.25,31.95,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Accipiter trivirgatus,Accipiter trivirgatus,accepted,Accipitriformes,Liaoning,2017,121.14,38.73,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Accipiter trivirgatus,Accipiter trivirgatus,accepted,Accipitriformes,Shaanxi,1997,107.67,33.55,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Accipiter virgatus,Accipiter virgatus,accepted,Accipitriformes,Anhui,2011,117.12,31.77,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Aquila fasciata,Aquila fasciata,accepted,Accipitriformes,Liaoning,2015,121.14,38.73,TRUE,TRUE,114.95921947733015,25.39934999567323,120.91632080066461,31.2098999023587,19.861011515307723,N,1.3330131981756494,N,6.180780522669849,13.330650004326767,0.22367919933539326,7.520100097641297,1603.8362014672146,849.0857811708008,FALSE
14,Aquila fasciata,Aquila fasciata,accepted,Accipitriformes,Shaanxi,2020,110.01,32.85,TRUE,TRUE,114.95921947733015,25.39934999567323,116.25488281219214,28.26867675812599,331.04885310615,NW,311.98359696105257,NW,-4.949219477330146,7.450650004326771,-6.244882812192131,4.58132324187401,960.2987805086045,783.4157555570033,FALSE
15,Aquila heliaca,Aquila heliaca,accepted,Accipitriformes,Hunan,2021,110.87,29.98,TRUE,TRUE,98.67679264207831,46.99747134508813,116.02822361735907,45.68285094339469,146.6867140434723,SE,196.19517222455428,S,12.193207357921693,-17.01747134508813,-5.15822361735907,-15.70285094339469,2178.809416739517,1824.040927092978,FALSE
16,Aquila heliaca,Aquila heliaca,accepted,Accipitriformes,Ningxia,2019,106.51,38.55,TRUE,TRUE,98.67679264207831,46.99747134508813,116.02822361735907,45.68285094339469,143.02326782774105,SE,227.99414962588446,SW,7.833207357921694,-8.447471345088132,-9.51822361735907,-7.132850943394693,1140.2878850816794,1115.8953227349093,FALSE
17,Aviceda jerdoni,Aviceda jerdoni,accepted,Accipitriformes,Guangdong,2014,111.44,21.83,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Aviceda jerdoni,Aviceda jerdoni,accepted,Accipitriformes,Hunan,2017,110.88,29.98,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Aviceda leuphotes,Aviceda leuphotes,accepted,Accipitriformes,Gansu,2018,105.63,33.55,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Aviceda leuphotes,Aviceda leuphotes,accepted,Accipitriformes,Jiangsu,2006,119.07,32.25,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Aviceda leuphotes,Aviceda leuphotes,accepted,Accipitriformes,Ningxia,2002,106.31,35.35,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Aviceda leuphotes,Aviceda leuphotes,accepted,Accipitriformes,Shanxi,2018,111.38,35.01,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
