record_id,species,bl_accepted,bl_match_type,order,province,year,longitude,latitude,has_range_polygon,year_in_scope,centroid_lon,centroid_lat,nearest_edge_lon,nearest_edge_lat,bearing_from_centroid_deg,direction_8_centroid,bearing_from_nearest_edge_deg,direction_8_nearest_edge,centroid_delta_lon_deg,centroid_delta_lat_deg,edge_delta_lon_deg,edge_delta_lat_deg,distance_to_centroid_km,distance_to_nearest_edge_km,point_inside_range
23,Butastur indicus,Butastur indicus,accepted,Accipitriformes,Anhui,2011,116.82,31.47,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Butastur indicus,Butastur indicus,accepted,Accipitriformes,Gansu,2022,105.5,32.98,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Circaetus gallicus,Circaetus gallicus,accepted,Accipitriformes,Guangxi,2015,109.05,21.45,TRUE,TRUE,91.64024782978089,44.21047029180657,96.31417162637705,28.138803065249093,142.05537312133958,SE,117.24980914518028,SE,17.409752170219107,-22.760470291806573,12.735828373622951,-6.688803065249093,3003.03198905748,1484.3225401246623,FALSE
26,Circaetus gallicus,Circaetus gallicus,accepted,Accipitriformes,Hunan,2022,110.87,29.97,TRUE,TRUE,91.64024782978089,44.21047029180657,108.73529052713616,37.56207275425419,126.65086868979978,SE,166.23821952925357,S,19.229752170219115,-14.240470291806574,2.1347094728638467,-7.59207275425419,2315.6367437692265,875.9965623079513,FALSE
27,Circaetus gallicus,Circaetus gallicus,accepted,Accipitriformes,Jiangsu,2024,118.95,32.5,TRUE,TRUE,91.64024782978089,44.21047029180657,109.79327392555126,38.12091064540999,109.5514439444853,E,124.22917295517112,SE,27.309752170219113,-11.710470291806573,9.156726074448741,-5.620910645409992,2678.5668804146026,1033.4783487523855,FALSE
28,Circus aeruginosus,Circus aeruginosus,accepted,Accipitriformes,Gansu,2023,103.47,37.89,TRUE,TRUE,85.7568323642393,46.634482212092344,90.981857,46.373985,117.46873561960876,SE,128.14331031383722,SE,17.713167635760698,-8.744482212092343,12.488142999999994,-8.483984999999997,1741.749405614169,1394.041363178382,FALSE
29,Circus aeruginosus,Circus aeruginosus,accepted,Accipitriformes,Ningxia,2022,106.26,37,TRUE,TRUE,85.7568323642393,46.634482212092344,90.981857,46.373985,115.02403375780204,SE,124.09349776465945,SE,20.503167635760704,-9.634482212092344,15.278143,-9.373984999999998,1993.481154802368,1635.7032995355185,FALSE
30,Circus macrourus,Circus macrourus,accepted,Accipitriformes,Zhejiang,2021,120.63,27.86,TRUE,TRUE,86.04168434570275,45.33275506251909,90.981857,46.373985,110.64754917040875,E,118.12415439759394,SE,34.58831565429725,-17.47275506251909,29.64814299999999,-18.513984999999998,3590.547232045703,3299.692642184166,FALSE
31,Circus spilonotus,Circus spilonotus,accepted,Accipitriformes,Xinjiang,2015,86.82,47.78,TRUE,TRUE,123.70927504847819,47.05024253771322,110.64125809278404,42.95739120717588,285.41332989988354,W,294.39441638233336,NW,-36.8892750484782,0.7297574622867842,-23.82125809278405,4.82260879282412,2773.656713235001,1926.5024541459977,FALSE
32,Clanga clanga,Clanga clanga,accepted,Accipitriformes,Gansu,2014,104.08,35.82,TRUE,TRUE,123.11419253581329,46.5753258150723,121.09167470205416,38.89550953867193,239.71849468557951,SW,262.46613345271135,W,-19.03419253581329,-10.755325815072297,-17.011674702054165,-3.0755095386719304,1979.553394050139,1517.8539279214283,FALSE
33,Elanus caeruleus,Elanus caeruleus,accepted,Accipitriformes,Beijing,2013,116.17,39.99,TRUE,TRUE,113.96737636024343,24.501852873996707,119.11608886730755,28.50067138687507,6.287044677572112,N,348.8435893710581,N,2.202623639756567,15.488147126003295,-2.9460888673075516,11.489328613124933,1751.7393943885745,1322.0618787040348,FALSE
34,Elanus caeruleus,Elanus caeruleus,accepted,Accipitriformes,Gansu,2022,106.71,35.55,TRUE,TRUE,113.96737636024343,24.501852873996707,107.85791015742797,23.37811279297108,332.1266473082,NW,355.58089015964026,N,-7.257376360243441,11.04814712600329,-1.1479101574279724,12.171887207028917,1417.2891333242328,1366.5858076906977,FALSE
35,Elanus caeruleus,Elanus caeruleus,accepted,Accipitriformes,Henan,2013,113.74,33.54,TRUE,TRUE,113.96737636024343,24.501852873996707,118.29571881371368,27.84447620266502,358.79378675120216,N,326.6180352580697,NW,-0.22737636024344,9.038147126003292,-4.555718813713682,5.695523797334978,1011.397805944096,759.4243882073621,FALSE
36,Elanus caeruleus,Elanus caeruleus,accepted,Accipitriformes,Liaoning,2019,121.14,38.73,TRUE,TRUE,113.96737636024343,24.501852873996707,119.95007324218648,28.50067138687507,21.417855761243857,N,5.209913578168823,N,7.172623639756566,14.22814712600329,1.1899267578135237,10.229328613124927,1731.4790180755506,1157.7761060067228,FALSE
37,Elanus caeruleus,Elanus caeruleus,accepted,Accipitriformes,Inner Mongolia,2023,113.83,41.44,TRUE,TRUE,113.96737636024343,24.501852873996707,119.11608886730755,28.50067138687507,359.64652072566923,N,342.9674108348331,N,-0.13737636024343658,16.93814712600329,-5.286088867307555,12.939328613124928,1903.5473214892845,1533.2404420924308,FALSE
38,Elanus caeruleus,Elanus caeruleus,accepted,Accipitriformes,Shaanxi,2016,109.06,34.44,TRUE,TRUE,113.96737636024343,24.501852873996707,108.63294115832386,23.348272190389856,337.9107098170826,N,1.8300410965201763,N,-4.907376360243433,9.93814712600329,0.4270588416761427,11.091727809610141,1207.8341086096377,1140.2625018960143,FALSE
39,Elanus caeruleus,Elanus caeruleus,accepted,Accipitriformes,Sichuan,2015,101.89,26.47,TRUE,TRUE,113.96737636024343,24.501852873996707,106.61062199941345,22.91455157807121,282.8023226752192,W,310.62424649663546,NW,-12.077376360243434,1.9681471260032914,-4.720621999413453,3.555448421928787,1231.3308820083735,619.0909582783518,FALSE
40,Elanus caeruleus,Elanus caeruleus,accepted,Accipitriformes,Tianjin,2004,117.11,39.17,TRUE,TRUE,113.96737636024343,24.501852873996707,119.11608886730755,28.50067138687507,9.510197815932315,N,351.67067792592616,N,3.1426236397565646,14.668147126003294,-2.006088867307554,10.669328613124932,1672.9080240672833,1216.1260867408268,FALSE
41,Gypaetus barbatus,Gypaetus barbatus,accepted,Accipitriformes,Shaanxi,2023,109.94,36.87,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Gypaetus barbatus,Gypaetus barbatus,accepted,Accipitriformes,Chongqing,2007,107.86,28.98,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Gyps himalayensis,Gyps himalayensis,accepted,Accipitriformes,Guangxi,2013,109.08,21.44,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Gyps himalayensis,Gyps himalayensis,accepted,Accipitriformes,Liaoning,2002,121.02,42.05,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Gyps tenuirostris,Gyps tenuirostris,accepted,Accipitriformes,Yunnan,2020,100.63,23.79,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Haliaeetus leucoryphus,Haliaeetus leucoryphus,accepted,Accipitriformes,Yunnan,2009,99.95,27.91,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Haliaeetus pelagicus,Haliaeetus pelagicus,accepted,Accipitriformes,Jiangsu,2024,120.96,32.76,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Haliastur indus,Haliastur indus,accepted,Accipitriformes,Hunan,2022,110.76,27.25,TRUE,TRUE,115.92431500629687,26.592007783728274,111.79669266904808,25.39888691726134,279.2966040758838,W,333.5734476318623,NW,-5.16431500629686,0.657992216271726,-1.0366926690480796,1.8511130827386602,515.4134488360817,229.013916178961,FALSE
49,Hieraaetus pennatus,Hieraaetus pennatus,accepted,Accipitriformes,Gansu,2013,94.12,39.88,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Hieraaetus pennatus,Hieraaetus pennatus,accepted,Accipitriformes,Hainan,2022,110.35,18.67,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Hieraaetus pennatus,Hieraaetus pennatus,accepted,Accipitriformes,Henan,2011,112.38,34.6,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,Hieraaetus pennatus,Hieraaetus pennatus,accepted,Accipitriformes,Hunan,2020,110.87,29.97,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,Hieraaetus pennatus,Hieraaetus pennatus,accepted,Accipitriformes,Qinghai,2013,96.37,37.43,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,Hieraaetus pennatus,Hieraaetus pennatus,accepted,Accipitriformes,Shaanxi,2020,109.06,34.31,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,Hieraaetus pennatus,Hieraaetus pennatus,accepted,Accipitriformes,Xizang,2012,85.35,28.35,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,Ictinaetus malaiensis,Ictinaetus malaiensis,accepted,Accipitriformes,Anhui,2005,117.45,30,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,Ictinaetus malaiensis,Ictinaetus malaiensis,accepted,Accipitriformes,Shandong,2021,118.62,36.2,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,Lophotriorchis kienerii,Lophotriorchis kienerii,accepted,Accipitriformes,Xizang,2019,95.35,29.45,TRUE,TRUE,103.30160152397019,22.288034015043554,95.56591796943889,28.23510742057107,316.70433982850255,NW,351.20319892414665,N,-7.951601523970197,7.161965984956446,-0.21591796943889108,1.2148925794289305,1123.6311128736972,137.5593556465253,FALSE
59,Neophron percnopterus,Neophron percnopterus,accepted,Accipitriformes,Xinjiang,2012,75.25,39.92,TRUE,TRUE,78.1426481622686,41.45235400181527,75.25,39.92,236.01153028874663,SW,0,N,-2.8926481622685998,-1.5323540018152713,0,0,296.2988632526397,0,TRUE
60,Nisaetus nipalensis,Nisaetus nipalensis,accepted,Accipitriformes,Gansu,2006,104.71,32.93,TRUE,TRUE,106.38292964459563,25.448355485467765,102.13928222619398,27.01928710981241,349.354612057441,N,20.012457260528322,N,-1.6729296445956408,7.481644514532235,2.5707177738060096,5.91071289018759,852.8365916953289,703.8542288544859,FALSE
61,Nisaetus nipalensis,Nisaetus nipalensis,accepted,Accipitriformes,Guizhou,2018,105.83,28.12,TRUE,TRUE,106.38292964459563,25.448355485467765,105.43211755558087,26.18462877759606,349.65583606045413,N,10.276132279555043,N,-0.5529296445956362,2.671644514532236,0.3978824444191247,1.9353712224039405,302.4531803421046,218.9834415221585,FALSE
62,Pernis ptilorhynchus,Pernis ptilorhynchus,accepted,Accipitriformes,Tianjin,2001,117.82,39.33,TRUE,TRUE,119.05650892929143,42.43220899460473,120.09067314876127,40.09049658197609,197.1781348085546,S,247.20163806072594,SW,-1.236508929291432,-3.10220899460473,-2.2706731487612757,-0.760496581976092,364.65320988393154,209.7971950574548,FALSE
63,Spilornis cheela,Spilornis cheela,accepted,Accipitriformes,Heilongjiang,2010,124.56,47.08,TRUE,TRUE,108.95118643575798,25.375811417834267,120.95367431631689,30.51611328110323,25.70849930021143,NE,8.524599044426225,N,15.608813564242027,21.70418858216573,3.60632568368311,16.563886718896768,2793.6100561974317,1889.7249753647482,FALSE
64,Spilornis cheela,Spilornis cheela,accepted,Accipitriformes,Shanghai,2015,121.97,30.89,TRUE,TRUE,108.95118643575798,25.375811417834267,121.95288085956417,30.18267822282189,61.36683448958422,NE,1.189873960414218,N,13.018813564242024,5.514188582165733,0.017119140435823965,0.7073217771781088,1408.6547292936734,79.45460051214378,FALSE
65,Aix galericulata,Aix galericulata,accepted,Anseriformes,Xizang,2021,91.18,29.65,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,Aix galericulata,Aix galericulata,accepted,Anseriformes,Xinjiang,2015,82.94,37.26,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,Anas carolinensis,Anas carolinensis,accepted,Anseriformes,Shandong,2023,119.43,35.37,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,Anser albifrons,Anser albifrons,accepted,Anseriformes,Gansu,2019,105.76,33,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,Anser anser,Anser anser,accepted,Anseriformes,Hainan,2009,110.58,19.9,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,Anser caerulescens,Anser caerulescens,accepted,Anseriformes,Guizhou,2023,104.22,26.86,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,Anser caerulescens,Anser caerulescens,accepted,Anseriformes,Jilin,2001,122.07,44.9,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,Anser caerulescens,Anser caerulescens,accepted,Anseriformes,Liaoning,2017,122.27,40.7,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,Anser caerulescens,Anser caerulescens,accepted,Anseriformes,Shandong,1997,118.98,37.77,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,Anser erythropus,Anser erythropus,accepted,Anseriformes,Yunnan,2004,100.08,26.73,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,Anser fabalis,Anser fabalis,accepted,Anseriformes,Xizang,2016,95.83,29.27,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,Anser indicus,Anser indicus,accepted,Anseriformes,Henan,2019,111.13,34.77,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,Anser indicus,Anser indicus,accepted,Anseriformes,Chongqing,2006,106.43,29.84,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,Asarcornis scutulata,Asarcornis scutulata,accepted,Anseriformes,Yunnan,2019,97.57,24.72,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,Aythya collaris,Aythya collaris,accepted,Anseriformes,Shandong,2014,120.08,36.25,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,Aythya fuligula,Aythya fuligula,accepted,Anseriformes,Hainan,2006,109.17,18.75,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,Aythya nyroca,Aythya nyroca,accepted,Anseriformes,Fujian,2004,119.52,25.96,TRUE,TRUE,89.65435290011366,43.90122455604922,110.5441284175925,40.77288818364292,116.70642550017328,SE,150.55294530352552,SE,29.86564709988633,-17.94122455604922,8.975871582407493,-14.812888183642919,3332.920991340796,1850.1235948138678,FALSE
82,Aythya nyroca,Aythya nyroca,accepted,Anseriformes,Jilin,2010,123.88,46.01,TRUE,TRUE,89.65435290011366,43.90122455604922,110.85510253905102,42.606689452756086,72.89747535138446,E,65.46190268684018,NE,34.22564709988633,2.108775443950776,13.024897460948978,3.403310547243912,2678.6008625896925,1097.4958853208784,FALSE
83,Branta bernicla,Branta bernicla,accepted,Anseriformes,Anhui,2017,117.09,30.75,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,Branta bernicla,Branta bernicla,accepted,Anseriformes,Henan,2018,112.66,34.84,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,Branta canadensis,Branta canadensis,accepted,Anseriformes,Heilongjiang,2023,124.39,47.03,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,Branta canadensis,Branta canadensis,accepted,Anseriformes,Liaoning,2020,123.8,39.83,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,Branta canadensis,Branta canadensis,accepted,Anseriformes,Tianjin,2014,117.43,39.26,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,Branta canadensis,Branta canadensis,accepted,Anseriformes,Zhejiang,2016,120.71,30.2,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,Branta hutchinsii,Branta hutchinsii,accepted,Anseriformes,Hebei,2025,118.33,39.24,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,Branta hutchinsii,Branta hutchinsii,accepted,Anseriformes,Hubei,2015,114.15,30.75,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,Branta leucopsis,Branta leucopsis,accepted,Anseriformes,Jilin,2018,122.3,45,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,Branta ruficollis,Branta ruficollis,accepted,Anseriformes,Hebei,2020,115.61,37.67,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,Branta ruficollis,Branta ruficollis,accepted,Anseriformes,Henan,2007,112.78,35,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,Branta ruficollis,Branta ruficollis,accepted,Anseriformes,Sichuan,2011,104.22,31.01,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,Branta ruficollis,Branta ruficollis,accepted,Anseriformes,Xinjiang,2021,83.57,45.95,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,Clangula hyemalis,Clangula hyemalis,accepted,Anseriformes,Gansu,2007,40.15,40.15,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,Clangula hyemalis,Clangula hyemalis,accepted,Anseriformes,Hubei,2024,112.17,31.95,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,Clangula hyemalis,Clangula hyemalis,accepted,Anseriformes,Jiangsu,2009,119.35,35.07,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,Clangula hyemalis,Clangula hyemalis,accepted,Anseriformes,Jiangxi,2013,117.09,28.03,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,Clangula hyemalis,Clangula hyemalis,accepted,Anseriformes,Ningxia,2020,106.78,37.75,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,Clangula hyemalis,Clangula hyemalis,accepted,Anseriformes,Shandong,2013,117.64,37.23,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,Clangula hyemalis,Clangula hyemalis,accepted,Anseriformes,Yunnan,2018,100.13,25.88,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,Cygnus columbianus,Cygnus columbianus,accepted,Anseriformes,Yunnan,2010,100.2,26.58,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,Cygnus cygnus,Cygnus cygnus,accepted,Anseriformes,Guangxi,2016,108.16,21.58,TRUE,TRUE,112.88743865794859,45.632326878254936,107.99548339883978,38.67767334015264,190.70748700968431,S,179.4796570006556,S,-4.727438657948596,-24.052326878254938,0.16451660116021571,-17.09767334015264,2729.2588561690427,1913.2592311813462,FALSE
105,Cygnus olor,Cygnus olor,accepted,Anseriformes,Jilin,2009,122.55,44.96,TRUE,TRUE,119.02928166719795,50.609584904200254,119.22509765663165,50.02172851455941,155.95940792511897,SE,154.82608806583823,SE,3.5207183328020477,-5.649584904200253,3.3249023433683504,-5.061728514559412,679.3148812608343,614.3873420163595,FALSE
106,Cygnus olor,Cygnus olor,accepted,Anseriformes,Shaanxi,2015,107.66,34.31,TRUE,TRUE,119.02928166719795,50.609584904200254,116.71527099625962,49.82727050792772,211.26930695565184,SW,206.59512221302677,SW,-11.369281667197953,-16.299584904200252,-9.055270996259623,-15.51727050792772,2044.069901966668,1886.7944102348783,FALSE
107,Dendrocygna javanica,Dendrocygna javanica,accepted,Anseriformes,Guizhou,2020,106.65,26.51,TRUE,TRUE,111.21668890222863,26.036042558982302,106.65,26.51,277.60986061917606,W,0,N,-4.56668890222862,0.4739574410176992,0,0,457.5120250164278,0,TRUE
