direction,count,proportion
East,75,0.2336448598130841
North,35,0.10903426791277258
Northeast,63,0.19626168224299065
Northwest,22,0.06853582554517133
South,26,0.08099688473520249
Southeast,39,0.12149532710280374
Southwest,34,0.1059190031152648
West,27,0.08411214953271028
