species,species_canon,bl_accepted,bl_match_type
Phylloscopus claudiae,Phylloscopus claudiae,Phylloscopus claudiae,accepted
Phylloscopus collybita,Phylloscopus collybita,Phylloscopus collybita,accepted
Phylloscopus coronatus,Phylloscopus coronatus,Phylloscopus coronatus,accepted
Phylloscopus emeiensis,Phylloscopus emeiensis,Phylloscopus emeiensis,accepted
Phylloscopus humei,Phylloscopus humei,Phylloscopus humei,accepted
Phylloscopus intermedius,Phylloscopus intermedius,Phylloscopus intermedius,accepted
Phylloscopus maculipennis,Phylloscopus maculipennis,Phylloscopus maculipennis,accepted
Phylloscopus magnirostris,Phylloscopus magnirostris,Phylloscopus magnirostris,accepted
Phylloscopus ogilviegranti,Phylloscopus ogilviegranti,Phylloscopus ogilviegranti,accepted
Phylloscopus omeiensis,Phylloscopus omeiensis,Phylloscopus omeiensis,accepted
Phylloscopus pulcher,Phylloscopus pulcher,Phylloscopus pulcher,accepted
Phylloscopus ricketti,Phylloscopus ricketti,Phylloscopus ricketti,accepted
Phylloscopus sibilatrix,Phylloscopus sibilatrix,Phylloscopus sibilatrix,accepted
Phylloscopus soror,Phylloscopus soror,Phylloscopus soror,accepted
Phylloscopus subaffinis,Phylloscopus subaffinis,Phylloscopus subaffinis,accepted
Phylloscopus tenellipes,Phylloscopus tenellipes,Phylloscopus tenellipes,accepted
Phylloscopus tephrocephalus,Phylloscopus tephrocephalus,Phylloscopus tephrocephalus,accepted
Phylloscopus valentini,Phylloscopus valentini,Phylloscopus valentini,accepted
Phylloscopus yunnanensis,Phylloscopus yunnanensis,Phylloscopus yunnanensis,accepted
Picumnus innominatus,Picumnus innominatus,Picumnus innominatus,accepted
Picus chlorolophus,Picus chlorolophus,Picus chlorolophus,accepted
Pitta brachyura,Pitta brachyura,Pitta brachyura,accepted
Pitta moluccensis,Pitta moluccensis,Pitta moluccensis,accepted
Pitta nympha,Pitta nympha,Pitta nympha,accepted
Pitta sordida,Pitta sordida,Pitta sordida,accepted
Platalea minor,Platalea minor,Platalea minor,accepted
Plectrophenax nivalis,Plectrophenax nivalis,Plectrophenax nivalis,accepted
Plegadis falcinellus,Plegadis falcinellus,Plegadis falcinellus,accepted
Pluvialis apricaria,Pluvialis apricaria,Pluvialis apricaria,accepted
Pnoepyga immaculata,Pnoepyga immaculata,Pnoepyga immaculata,accepted
Podiceps auritus,Podiceps auritus,Podiceps auritus,accepted
Podiceps grisegena,Podiceps grisegena,Podiceps grisegena,accepted
Podiceps nigricollis,Podiceps nigricollis,Podiceps nigricollis,accepted
Podoces biddulphi,Podoces biddulphi,Podoces biddulphi,accepted
Pomatorhinus schisticeps,Pomatorhinus schisticeps,Pomatorhinus schisticeps,accepted
Prinia atrogularis,Prinia atrogularis,Prinia atrogularis,accepted
Prinia flaviventris,Prinia flaviventris,Prinia flaviventris,accepted
Prinia inornata,Prinia inornata,Prinia inornata,accepted
Prinia rufescens,Prinia rufescens,Prinia rufescens,accepted
Prinia superciliaris,Prinia superciliaris,Prinia superciliaris,accepted
Prunella collaris,Prunella collaris,Prunella collaris,accepted
Prunella himalayana,Prunella himalayana,Prunella himalayana,accepted
Prunella immaculata,Prunella immaculata,Prunella immaculata,accepted
Prunella montanella,Prunella montanella,Prunella montanella,accepted
Prunella strophiata,Prunella strophiata,Prunella strophiata,accepted
Psarisomus dalhousiae,Psarisomus dalhousiae,Psarisomus dalhousiae,accepted
Pseudopodoces humilis,Pseudopodoces humilis,Pseudopodoces humilis,accepted
Psilopogon faber,Psilopogon faber,Psilopogon faber,accepted
Psilopogon faiostrictus,Psilopogon faiostrictus,Psilopogon faiostrictus,accepted
Psilopogon virens,Psilopogon virens,Psilopogon virens,accepted
Pterorhinus berthemyi,Pterorhinus berthemyi,Pterorhinus berthemyi,accepted
Pterorhinus gularis,Pterorhinus gularis,Pterorhinus gularis,accepted
Pterorhinus lanceolatus,Pterorhinus lanceolatus,Pterorhinus lanceolatus,accepted
Pterorhinus pectoralis,Pterorhinus pectoralis,Pterorhinus pectoralis,accepted
Pterorhinus sannio,Pterorhinus sannio,Pterorhinus sannio,accepted
Pteruthius rufiventer,Pteruthius rufiventer,Pteruthius rufiventer,accepted
Pteruthius xanthochlorus,Pteruthius xanthochlorus,Pteruthius xanthochlorus,accepted
Ptyonoprogne rupestris,Ptyonoprogne rupestris,Ptyonoprogne rupestris,accepted
Pycnonotus aurigaster,Pycnonotus aurigaster,Pycnonotus aurigaster,accepted
Pycnonotus blanfordi,Pycnonotus blanfordi,Pycnonotus blanfordi,accepted
Pycnonotus goiavier,Pycnonotus goiavier,Pycnonotus goiavier,accepted
Pycnonotus jocosus,Pycnonotus jocosus,Pycnonotus jocosus,accepted
Pycnonotus sinensis,Pycnonotus sinensis,Pycnonotus sinensis,accepted
Pycnonotus xanthorrhous,Pycnonotus xanthorrhous,Pycnonotus xanthorrhous,accepted
Pyrrhula erythaca,Pyrrhula erythaca,Pyrrhula erythaca,accepted
Pyrrhula nipalensis,Pyrrhula nipalensis,Pyrrhula nipalensis,accepted
Pyrrhula pyrrhula,Pyrrhula pyrrhula,Pyrrhula pyrrhula,accepted
Rallina eurizonoides,Rallina eurizonoides,Rallina eurizonoides,accepted
Rallina fasciata,Rallina fasciata,Rallina fasciata,accepted
Rallus aquaticus,Rallus aquaticus,Rallus aquaticus,accepted
Recurvirostra avosetta,Recurvirostra avosetta,Recurvirostra avosetta,accepted
Regulus regulus,Regulus regulus,Regulus regulus,accepted
Remiz consobrinus,Remiz consobrinus,Remiz consobrinus,accepted
Remiz coronatus,Remiz coronatus,Remiz coronatus,accepted
Remiz pendulinus,Remiz pendulinus,Remiz pendulinus,accepted
Rhodospiza obsoleta,Rhodospiza obsoleta,Rhodospiza obsoleta,accepted
Riparia riparia,Riparia riparia,Riparia riparia,accepted
Rissa tridactyla,Rissa tridactyla,Rissa tridactyla,accepted
Sasia ochracea,Sasia ochracea,Sasia ochracea,accepted
Saxicola ferreus,Saxicola ferreus,Saxicola ferreus,accepted
Saxicola rubetra,Saxicola rubetra,Saxicola rubetra,accepted
Sibirionetta formosa,Sibirionetta formosa,Sibirionetta formosa,accepted
Sitta cinnamoventris,Sitta cinnamoventris,Sitta cinnamoventris,accepted
Sitta formosa,Sitta formosa,Sitta formosa,accepted
Sitta villosa,Sitta villosa,Sitta villosa,accepted
Sittiparus varius,Sittiparus varius,Sittiparus varius,accepted
Spilopelia chinensis,Spilopelia chinensis,Spilopelia chinensis,accepted
Spilopelia senegalensis,Spilopelia senegalensis,Spilopelia senegalensis,accepted
Spilornis cheela,Spilornis cheela,Spilornis cheela,accepted
Spinus spinus,Spinus spinus,Spinus spinus,accepted
Spizixos semitorques,Spizixos semitorques,Spizixos semitorques,accepted
Spodiopsar cineraceus,Spodiopsar cineraceus,Spodiopsar cineraceus,accepted
Spodiopsar sericeus,Spodiopsar sericeus,Spodiopsar sericeus,accepted
Stachyris humei,Stachyris humei,Stachyris humei,accepted
Staphida castaniceps,Staphida castaniceps,Staphida castaniceps,accepted
Staphida torqueola,Staphida torqueola,Staphida torqueola,accepted
Stercorarius longicaudus,Stercorarius longicaudus,Stercorarius longicaudus,accepted
Stercorarius parasiticus,Stercorarius parasiticus,Stercorarius parasiticus,accepted
Stercorarius pomarinus,Stercorarius pomarinus,Stercorarius pomarinus,accepted
Streptopelia decaocto,Streptopelia decaocto,Streptopelia decaocto,accepted
Sturnia pagodarum,Sturnia pagodarum,Sturnia pagodarum,accepted
Sturnia sinensis,Sturnia sinensis,Sturnia sinensis,accepted
Sturnus vulgaris,Sturnus vulgaris,Sturnus vulgaris,accepted
Sula dactylatra,Sula dactylatra,Sula dactylatra,accepted
Sula granti,Sula granti,Sula granti,accepted
Sula sula,Sula sula,Sula sula,accepted
Suthora alphonsiana,Suthora alphonsiana,Suthora alphonsiana,accepted
Suthora conspicillata,Suthora conspicillata,Suthora conspicillata,accepted
Suthora fulvifrons,Suthora fulvifrons,Suthora fulvifrons,accepted
Suthora przewalskii,Suthora przewalskii,Suthora przewalskii,accepted
Suthora webbiana,Suthora webbiana,Suthora webbiana,accepted
Sylvia atricapilla,Sylvia atricapilla,Sylvia atricapilla,accepted
Sylviparus modestus,Sylviparus modestus,Sylviparus modestus,accepted
Synthliboramphus antiquus,Synthliboramphus antiquus,Synthliboramphus antiquus,accepted
Syrmaticus humiae,Syrmaticus humiae,Syrmaticus humiae,accepted
Syrmaticus reevesii,Syrmaticus reevesii,Syrmaticus reevesii,accepted
Syrrhaptes paradoxus,Syrrhaptes paradoxus,Syrrhaptes paradoxus,accepted
Tarsiger chrysaeus,Tarsiger chrysaeus,Tarsiger chrysaeus,accepted
Tarsiger indicus,Tarsiger indicus,Tarsiger indicus,accepted
Temnurus temnurus,Temnurus temnurus,Temnurus temnurus,accepted
Tephrodornis virgatus,Tephrodornis virgatus,Tephrodornis virgatus,accepted
Tetrax tetrax,Tetrax tetrax,Tetrax tetrax,accepted
Thalasseus bengalensis,Thalasseus bengalensis,Thalasseus bengalensis,accepted
Thalasseus bergii,Thalasseus bergii,Thalasseus bergii,accepted
Timalia pileata,Timalia pileata,Timalia pileata,accepted
Todiramphus chloris,Todiramphus chloris,Todiramphus chloris,accepted
Tragopan caboti,Tragopan caboti,Tragopan caboti,accepted
Tragopan temminckii,Tragopan temminckii,Tragopan temminckii,accepted
Treron curvirostra,Treron curvirostra,Treron curvirostra,accepted
Treron seimundi,Treron seimundi,Treron seimundi,accepted
Treron sieboldii,Treron sieboldii,Treron sieboldii,accepted
Treron sphenurus,Treron sphenurus,Treron sphenurus,accepted
Tringa brevipes,Tringa brevipes,Tringa brevipes,accepted
Tringa guttifer,Tringa guttifer,Tringa guttifer,accepted
Tringa stagnatilis,Tringa stagnatilis,Tringa stagnatilis,accepted
Turdus boulboul,Turdus boulboul,Turdus boulboul,accepted
Turdus cardis,Turdus cardis,Turdus cardis,accepted
Turdus feae,Turdus feae,Turdus feae,accepted
Turdus mandarinus,Turdus mandarinus,Turdus mandarinus,accepted
Turdus migratorius,Turdus migratorius,Turdus migratorius,accepted
Turdus naumanni,Turdus naumanni,Turdus naumanni,accepted
Turdus pilaris,Turdus pilaris,Turdus pilaris,accepted
Turdus rubrocanus,Turdus rubrocanus,Turdus rubrocanus,accepted
Turdus ruficollis,Turdus ruficollis,Turdus ruficollis,accepted
Turdus viscivorus,Turdus viscivorus,Turdus viscivorus,accepted
Turnix suscitator,Turnix suscitator,Turnix suscitator,accepted
Tyto alba,Tyto alba,Tyto alba,accepted
Tyto longimembris,Tyto longimembris,Tyto longimembris,accepted
Urile pelagicus,Urile pelagicus,Urile pelagicus,accepted
Urosphena squameiceps,Urosphena squameiceps,Urosphena squameiceps,accepted
Vanellus cinereus,Vanellus cinereus,Vanellus cinereus,accepted
Vanellus indicus,Vanellus indicus,Vanellus indicus,accepted
Vanellus leucurus,Vanellus leucurus,Vanellus leucurus,accepted
Vanellus vanellus,Vanellus vanellus,Vanellus vanellus,accepted
Yuhina nigrimenta,Yuhina nigrimenta,Yuhina nigrimenta,accepted
Zapornia bicolor,Zapornia bicolor,Zapornia bicolor,accepted
Zoothera dixoni,Zoothera dixoni,Zoothera dixoni,accepted
Zoothera mollissima,Zoothera mollissima,Zoothera mollissima,accepted
Zoothera monticola,Zoothera monticola,Zoothera monticola,accepted
Zosterops erythropleurus,Zosterops erythropleurus,Zosterops erythropleurus,accepted
Zosterops japonicus,Zosterops japonicus,Zosterops japonicus,accepted
Cecropis striolata,Cecropis striolata,Cecropis striolata,unmatched
