species,species_canon,bl_accepted,bl_match_type
Calliope obscura,Calliope obscura,Calliope obscura,accepted
Calonectris leucomelas,Calonectris leucomelas,Calonectris leucomelas,accepted
Caprimulgus macrurus,Caprimulgus macrurus,Caprimulgus macrurus,accepted
Carduelis caniceps,Carduelis caniceps,Carduelis caniceps,accepted
Carpodacus roborowskii,Carpodacus roborowskii,Carpodacus roborowskii,accepted
Carpodacus vinaceus,Carpodacus vinaceus,Carpodacus vinaceus,accepted
Cecropis daurica,Cecropis daurica,Cecropis daurica,accepted
Centropus bengalensis,Centropus bengalensis,Centropus bengalensis,accepted
Cephalopyrus flammiceps,Cephalopyrus flammiceps,Cephalopyrus flammiceps,accepted
Certhia familiaris,Certhia familiaris,Certhia familiaris,accepted
Certhia himalayana,Certhia himalayana,Certhia himalayana,accepted
Certhia tianquanensis,Certhia tianquanensis,Certhia tianquanensis,accepted
Ceryle rudis,Ceryle rudis,Ceryle rudis,accepted
Cettia brunnifrons,Cettia brunnifrons,Cettia brunnifrons,accepted
Cettia castaneocoronata,Cettia castaneocoronata,Cettia castaneocoronata,accepted
Chalcophaps indica,Chalcophaps indica,Chalcophaps indica,accepted
Charadrius asiaticus,Charadrius asiaticus,Charadrius asiaticus,accepted
Charadrius atrifrons,Charadrius atrifrons,Charadrius atrifrons,accepted
Charadrius dealbatus,Charadrius dealbatus,Charadrius dealbatus,accepted
Charadrius hiaticula,Charadrius hiaticula,Charadrius hiaticula,accepted
Charadrius mongolus,Charadrius mongolus,Charadrius mongolus,accepted
Charadrius placidus,Charadrius placidus,Charadrius placidus,accepted
Charadrius veredus,Charadrius veredus,Charadrius veredus,accepted
Chlidonias leucopterus,Chlidonias leucopterus,Chlidonias leucopterus,accepted
Chlidonias niger,Chlidonias niger,Chlidonias niger,accepted
Chloris ambigua,Chloris ambigua,Chloris ambigua,accepted
Chloris chloris,Chloris chloris,Chloris chloris,accepted
Chloris sinica,Chloris sinica,Chloris sinica,accepted
Chrysolophus pictus,Chrysolophus pictus,Chrysolophus pictus,accepted
Ciconia boyciana,Ciconia boyciana,Ciconia boyciana,accepted
Ciconia episcopus,Ciconia episcopus,Ciconia episcopus,accepted
Ciconia nigra,Ciconia nigra,Ciconia nigra,accepted
Circaetus gallicus,Circaetus gallicus,Circaetus gallicus,accepted
