record_id,species,order,province,year,year_in_scope,longitude,latitude,iucn,point_baseline_temp,point_baseline_prec,point_year_temp,point_year_prec,point_temp_delta_from_point_baseline,point_prec_delta_from_point_baseline,resident_breeding_baseline_temp_mean,resident_breeding_baseline_prec_mean,resident_breeding_range_year_temp_mean,resident_breeding_range_year_prec_mean,resident_breeding_range_temp_delta_from_baseline,resident_breeding_range_prec_delta_from_baseline,point_temp_minus_resident_breeding_baseline,point_prec_minus_resident_breeding_baseline,resident_breeding_bearing_from_centroid_deg,resident_breeding_direction_8,resident_breeding_bearing_from_nearest_edge_deg,resident_breeding_direction_8_from_nearest_edge,resident_breeding_range_centroid_lon,resident_breeding_range_centroid_lat,resident_breeding_nearest_edge_lon,resident_breeding_nearest_edge_lat,resident_breeding_centroid_delta_lon_deg,resident_breeding_centroid_delta_lat_deg,resident_breeding_edge_delta_lon_deg,resident_breeding_edge_delta_lat_deg,resident_breeding_distance_to_range_edge_km,resident_breeding_distance_to_range_centroid_km,resident_breeding_point_inside_historical_range,all_seasons_baseline_temp_mean,all_seasons_baseline_prec_mean,all_seasons_range_year_temp_mean,all_seasons_range_year_prec_mean,all_seasons_range_temp_delta_from_baseline,all_seasons_range_prec_delta_from_baseline,point_temp_minus_all_seasons_baseline,point_prec_minus_all_seasons_baseline,all_seasons_bearing_from_centroid_deg,all_seasons_direction_8,all_seasons_bearing_from_nearest_edge_deg,all_seasons_direction_8_from_nearest_edge,all_seasons_range_centroid_lon,all_seasons_range_centroid_lat,all_seasons_nearest_edge_lon,all_seasons_nearest_edge_lat,all_seasons_centroid_delta_lon_deg,all_seasons_centroid_delta_lat_deg,all_seasons_edge_delta_lon_deg,all_seasons_edge_delta_lat_deg,all_seasons_distance_to_range_edge_km,all_seasons_distance_to_range_centroid_km,all_seasons_point_inside_historical_range,bot_has_polygon,bot_centroid_lon,bot_centroid_lat,bot_nearest_edge_lon,bot_nearest_edge_lat,bot_bearing_from_centroid_deg,bot_direction_8_centroid,bot_bearing_from_nearest_edge_deg,bot_direction_8_nearest_edge,bot_centroid_delta_lon_deg,bot_centroid_delta_lat_deg,bot_edge_delta_lon_deg,bot_edge_delta_lat_deg,bot_distance_to_centroid_km,bot_distance_to_nearest_edge_km,bot_point_inside_range
1,Accipiter badius,Accipitriformes,Hunan,2024,TRUE,111.63,25.19,LC,18.7239990234375,1539,NA,NA,NA,NA,23.6203694313346,979.3026248414618,NA,NA,NA,NA,NA,NA,65.01275695335835,Northeast,55.59477518478286,Northeast,43.59899394882317,5.513726885293067,110.19202023700004,24.303991744000022,68.03111994006584,19.674712003595832,1.4380936518889484,0.884447144888874,172.63469287894978,6992.859233070312,FALSE,23.6203694313346,979.3026248414618,NA,NA,NA,NA,NA,NA,65.01275695335835,Northeast,55.59477518478286,Northeast,43.59899394882317,5.513726885293067,110.19202023700004,24.303991744000022,68.03111994006584,19.674712003595832,1.4380936518889484,0.884447144888874,172.63469287894978,6992.859233070312,FALSE,TRUE,104.51211781594532,23.7148618049136,110.19202023700008,24.30399174400003,75.71582734844657,E,55.54558945345758,NE,7.117882184054679,1.4751381950864015,1.4379797629999302,0.8860082559999718,740.8905256062098,175.51880733714526,FALSE
2,Accipiter gularis,Accipitriformes,Xinjiang,2013,TRUE,88.36,36.47,LC,-8.961833000183105,189,-7.90625,242.5,1.0555830001831057,53.5,-0.05366057862090199,602.7993170537087,0.4329631917525748,705.3696933249454,0.4866237703734768,102.57037627123668,-7.852589421379098,-360.2993170537087,252.74296621773712,West,189.3340280812955,South,118.08219803164016,48.163623620599985,91.02429510569728,49.65448481581869,-29.722198031640175,-11.693623620599986,-2.664295105697292,-13.184484815818692,1260.295375322606,3074.328811756996,FALSE,9.385522596300495,1150.6850889156833,9.831655382416107,1247.474795041774,0.44613278611561213,96.78970612609056,-17.291772596300497,-908.1850889156832,294.43308558886326,Northwest,189.3340280812955,South,114.17506363430702,29.60994822477134,91.02429510569728,49.65448481581869,-25.815063634307023,6.8600517752286585,-2.664295105697292,-13.184484815818692,1260.295375322606,2597.298791054731,FALSE,TRUE,124.17566964226462,45.944099345746295,115.52913849600009,41.33271184600005,263.2954871643966,W,265.9236869071391,W,-35.81566964226462,-9.474099345746296,-27.169138496000087,-4.862711846000053,3124.443005307087,2371.442760634592,FALSE
3,Accipiter soloensis,Accipitriformes,Gansu,2015,TRUE,116.22,33.7,LC,14.91450023651123,763,15.541666984558104,859.0250244140625,0.627166748046875,96.0250244140625,13.355418396890803,1205.6456549462562,14.178633254849682,1319.3400137975602,0.8232148579588774,113.69435885130406,2.186248587667301,-346.6206305321937,356.3304832174476,North,346.80085187721573,North,116.42885771249551,30.94649740333582,116.6997058324536,31.98718170583344,-0.21219104582851855,2.753502596664184,-0.4830391657866073,1.7128182941665635,190.1019406302157,298.65512822835194,FALSE,16.832293741163873,1538.3987369296804,17.56023398550193,1557.2761181067378,0.7279402443380576,18.877381177057487,-1.290626756605768,-679.3737125156179,4.6192627923092,North,106.77592928032344,East,115.04061021155422,21.50286567539433,116.0569662907343,33.74015572029101,1.1760564551127717,12.197134324605674,0.15970037593270092,-0.04015572029100411,15.991880014820596,1384.9686617621433,TRUE,TRUE,115.51616485379036,30.79747210557172,116.60993177412496,31.96709107310562,11.40323405423129,N,349.3987920860201,N,0.7038351462096273,2.9025278944282853,-0.3899317741249462,1.7329089268943818,333.3250594625281,197.57113532625917,FALSE
4,Accipiter soloensis,Accipitriformes,Heilongjiang,2018,TRUE,125.25,49.09,LC,0.6134167313575745,495,2.0833332538604736,558.625,1.4699165225028992,63.625,13.355418396890803,1205.6456549462562,14.354921224833316,1290.2286498736105,0.9995028279425108,84.58299492735432,-11.272085143030331,-647.0206549462562,17.666196169305408,North,345.68358768792746,North,116.42885771249551,30.94649740333582,126.55136978362496,45.75479419416657,8.821614509726487,18.14133592999748,-1.3008975614029623,3.333039139166729,315.77225683511375,1968.2938363029516,FALSE,16.832293741163873,1538.3987369296804,17.729777505056003,1668.8748399972771,0.8974837638921294,130.4761030675968,-14.7489604873034,-979.7737369296804,13.963196414114748,North,345.68358768792746,North,115.04061021155422,21.50286567539433,126.55136978362496,45.75479419416657,10.209862010667775,27.58496765793897,-1.3008975614029623,3.333039139166729,315.77225683511375,3022.161330032044,FALSE,TRUE,115.51616485379036,30.79747210557172,126.75425845141666,45.85170037435132,19.15809412503677,N,343.1190909252704,N,9.733835146209628,18.29252789442829,-1.5042584514166606,3.2382996256486862,2210.1562960726533,364.0799712226892,FALSE
5,Accipiter soloensis,Accipitriformes,Inner Mongolia,2020,TRUE,105.66,38.11,LC,8.326333045959473,196,9.958333015441896,149.60000610351562,1.631999969482422,-46.399993896484375,13.355418396890803,1205.6456549462562,14.735440180646362,1239.787860856342,1.3800217837555575,34.14220591008598,-3.3970853814489104,-1056.0456488427403,311.8819608253467,Northwest,344.2385701566258,North,116.42885771249551,30.94649740333582,108.20251464800002,31.02929687500007,-10.768857712495516,7.1635025966641805,-2.5425146480000222,7.080703124999928,785.8282465776765,1284.7627657634453,FALSE,16.832293741163873,1538.3987369296804,18.01857422996559,1553.8752750624592,1.1862804888017209,15.476538132778842,-6.873960725721979,-1388.7987308261647,336.1190179237762,Northwest,344.2385701566258,North,115.04061021155422,21.50286567539433,108.20251464800002,31.02929687500007,-9.380610211554227,16.60713432460567,-2.5425146480000222,7.080703124999928,785.8282465776765,2048.7706428515207,FALSE,TRUE,115.51616485379036,30.79747210557172,108.20251464800003,31.029296875000057,314.68819558139836,NW,344.2385701566258,N,-9.856164853790377,7.312527894428282,-2.5425146480000365,7.080703124999943,1212.5214860634553,831.232456544871,FALSE
6,Accipiter trivirgatus,Accipitriformes,Anhui,2006,TRUE,117.82,30.23,LC,15.331250190734863,1584,15.583333015441896,1936.2000732421875,0.25208282470703125,352.2000732421875,23.975243927253903,2191.9457369994893,24.67334108889299,2380.6842644904905,0.6980971616390832,188.73852749100115,-8.391910911812012,-255.74566375730183,38.52302918815019,Northeast,327.06167556200563,Northwest,101.86493037265556,13.340156643405916,121.55267334000008,25.293518067000036,15.951736294011454,16.893176689927383,-3.73600667333308,4.939815266333262,665.2248801708914,2521.854683899416,FALSE,23.975243927253903,2191.9457369994893,24.67334108889299,2380.6842644904905,0.6980971616390832,188.73852749100115,-8.391910911812012,-255.74566375730183,38.52302918815019,Northeast,327.06167556200563,Northwest,101.86493037265556,13.340156643405916,121.55267334000008,25.293518067000036,15.951736294011454,16.893176689927383,-3.73600667333308,4.939815266333262,665.2248801708914,2521.854683899416,FALSE,TRUE,105.6162517331314,22.841708786528944,121.52148437500011,25.27252197300004,53.292965299654725,NE,327.3900712066007,NW,12.2037482668686,7.388291213471056,-3.701484375000121,4.957478026999961,1461.7641912369131,660.9212610957037,FALSE
7,Accipiter trivirgatus,Accipitriformes,Beijing,2013,TRUE,116.17,39.99,LC,12.027166366577148,549,12.5625,577.57501220703125,0.5353336334228516,28.57501220703125,23.975243927253903,2191.9457369994893,24.284909417841924,2316.301129045657,0.3096654905880172,124.35539204616772,-11.412743927253906,-1614.370724792458,22.62612590461299,Northeast,344.2185055457228,North,101.86493037265556,13.340156643405916,121.56732177700007,25.29827880900007,14.30182240512245,26.653329467705188,-5.400568999222074,14.695207302111031,1664.050012231066,3319.904711771326,FALSE,23.975243927253903,2191.9457369994893,24.284909417841924,2316.301129045657,0.3096654905880172,124.35539204616772,-11.412743927253906,-1614.370724792458,22.62612590461299,Northeast,344.2185055457228,North,101.86493037265556,13.340156643405916,121.56732177700007,25.29827880900007,14.30182240512245,26.653329467705188,-5.400568999222074,14.695207302111031,1664.050012231066,3319.904711771326,FALSE,TRUE,105.6162517331314,22.841708786528944,121.55267334000008,25.293518067000036,25.077267955795374,NE,344.2679848756809,N,10.55374826686861,17.148291213471058,-5.382673340000068,14.696481932999966,2159.5719686987486,1724.5894039011343,FALSE
8,Accipiter trivirgatus,Accipitriformes,Gansu,2020,TRUE,105.4,32.6,LC,19.980667114257812,1233,20.1875,1410.699951171875,0.2068328857421875,177.699951171875,23.975243927253903,2191.9457369994893,24.308419111347465,2327.414742780901,0.33317518409355884,135.46900578141185,-3.7877439272539064,-781.2457858276143,50.6488348291179,Northeast,306.3723006343693,Northwest,101.86493037265556,13.340156643405916,120.90832519500007,24.55987548800004,17.465069627344448,12.259843356594086,-1.5783251950000905,1.0401245119999594,194.1755753174004,2238.8410619810325,FALSE,23.975243927253903,2191.9457369994893,24.308419111347465,2327.414742780901,0.33317518409355884,135.46900578141185,-3.7877439272539064,-781.2457858276143,50.6488348291179,Northeast,306.3723006343693,Northwest,101.86493037265556,13.340156643405916,120.90832519500007,24.55987548800004,17.465069627344448,12.259843356594086,-1.5783251950000905,1.0401245119999594,194.1755753174004,2238.8410619810325,FALSE,TRUE,105.6162517331314,22.841708786528944,104.66650390600006,23.298889160000044,358.92527459618765,N,3.8169088593828633,N,-0.2162517331313865,9.758291213471058,0.7334960939999462,9.301110839999955,1088.4924525873614,1010.953449825841,FALSE
9,Accipiter trivirgatus,Accipitriformes,Henan,2008,TRUE,114.25,31.95,LC,14.737916946411133,815,15.40625,798.20001220703125,0.6683330535888672,-16.79998779296875,23.975243927253903,2191.9457369994893,24.33512087030191,2469.845994077815,0.35987694304800755,277.90025707832547,-8.568993927253906,-1393.745724792458,8.939568902677308,North,50.35599841497947,Northeast,101.86493037265556,13.340156643405916,97.99652099700006,27.62689209000008,3.5350696273444555,19.25984335659409,7.403479002999944,4.973107909999921,901.8382381127192,2281.929187570306,FALSE,23.975243927253903,2191.9457369994893,24.33512087030191,2469.845994077815,0.35987694304800755,277.90025707832547,-8.568993927253906,-1393.745724792458,8.939568902677308,North,50.35599841497947,Northeast,101.86493037265556,13.340156643405916,97.99652099700006,27.62689209000008,3.5350696273444555,19.25984335659409,7.403479002999944,4.973107909999921,901.8382381127192,2281.929187570306,FALSE,TRUE,105.6162517331314,22.841708786528944,113.05529785100008,22.758483887000068,38.17130788697921,NE,6.317224534333775,N,8.633748266868608,9.108291213471055,1.1947021489999088,9.191516112999931,1321.8770031390425,1026.0677838502502,FALSE
10,Accipiter trivirgatus,Accipitriformes,Liaoning,2017,TRUE,121.14,38.73,LC,15.123167037963867,1107,15.802083015441896,1230.875,0.6789159774780273,123.875,23.975243927253903,2191.9457369994893,24.011376821938203,2432.964345111269,0.0361328946842967,241.01860811177949,-8.173160911812012,-961.0707369994892,29.344985719023953,Northeast,317.98101315239575,Northwest,101.86493037265556,13.340156643405916,121.52148437500011,25.272521973000035,12.384502960677452,18.610476689927385,-7.272051041667112,6.678111360333265,1026.8910256694642,2491.263536607288,FALSE,23.975243927253903,2191.9457369994893,24.011376821938203,2432.964345111269,0.0361328946842967,241.01860811177949,-8.173160911812012,-961.0707369994892,29.344985719023953,Northeast,317.98101315239575,Northwest,101.86493037265556,13.340156643405916,121.52148437500011,25.272521973000035,12.384502960677452,18.610476689927385,-7.272051041667112,6.678111360333265,1026.8910256694642,2491.263536607288,FALSE,TRUE,105.6162517331314,22.841708786528944,121.56732177700007,25.298278809000067,36.24395077059228,NE,358.5652675010221,N,15.523748266868608,15.888291213471051,-0.4273217770000741,13.43172119099993,2300.812300332706,1509.8769822577449,FALSE
