record_id,species,bl_accepted,bl_match_type,order,province,year,longitude,latitude,bot_has_polygon,year_in_scope,bot_centroid_lon,bot_centroid_lat,bot_nearest_edge_lon,bot_nearest_edge_lat,bot_bearing_from_centroid_deg,bot_direction_8_centroid,bot_bearing_from_nearest_edge_deg,bot_direction_8_nearest_edge,bot_centroid_delta_lon_deg,bot_centroid_delta_lat_deg,bot_edge_delta_lon_deg,bot_edge_delta_lat_deg,bot_distance_to_centroid_km,bot_distance_to_nearest_edge_km,bot_point_inside_range
1,Accipiter badius,Accipiter badius,no_lookup,Accipitriformes,Hunan,2024,111.63,25.19,TRUE,TRUE,104.51211781594532,23.7148618049136,110.19202023700007,24.30399174400003,75.71582734844657,E,55.54558945345758,NE,7.117882184054679,1.4751381950864015,1.4379797629999302,0.8860082559999718,740.8905256062098,175.51880733714526,FALSE
2,Accipiter gularis,Accipiter gularis,no_lookup,Accipitriformes,Xinjiang,2013,88.36,36.47,TRUE,TRUE,124.17566964226462,45.944099345746295,115.52913849600009,41.33271184600005,263.2954871643966,W,265.9236869071391,W,-35.81566964226462,-9.474099345746296,-27.169138496000087,-4.862711846000053,3124.443005307087,2371.442760634592,FALSE
3,Accipiter soloensis,Accipiter soloensis,no_lookup,Accipitriformes,Gansu,2015,116.22,33.7,TRUE,TRUE,115.51616485379037,30.797472105571718,116.60993177412495,31.96709107310562,11.40323405423129,N,349.3987920860201,N,0.7038351462096273,2.9025278944282853,-0.3899317741249462,1.7329089268943818,333.3250594625281,197.57113532625917,FALSE
4,Accipiter soloensis,Accipiter soloensis,no_lookup,Accipitriformes,Heilongjiang,2018,125.25,49.09,TRUE,TRUE,115.51616485379037,30.797472105571718,126.75425845141666,45.85170037435132,19.15809412503677,N,343.1190909252704,N,9.733835146209628,18.292527894428286,-1.5042584514166606,3.2382996256486862,2210.1562960726533,364.0799712226892,FALSE
5,Accipiter soloensis,Accipiter soloensis,no_lookup,Accipitriformes,Inner Mongolia,2020,105.66,38.11,TRUE,TRUE,115.51616485379037,30.797472105571718,108.20251464800003,31.029296875000057,314.68819558139836,NW,344.2385701566258,N,-9.856164853790375,7.312527894428282,-2.5425146480000365,7.080703124999943,1212.5214860634553,831.232456544871,FALSE
6,Accipiter trivirgatus,Accipiter trivirgatus,no_lookup,Accipitriformes,Anhui,2006,117.82,30.23,TRUE,TRUE,105.61625173313139,22.841708786528944,121.52148437500011,25.27252197300004,53.292965299654725,NE,327.3900712066007,NW,12.203748266868601,7.3882912134710566,-3.7014843750001205,4.957478026999961,1461.7641912369133,660.9212610957037,FALSE
7,Accipiter trivirgatus,Accipiter trivirgatus,no_lookup,Accipitriformes,Beijing,2013,116.17,39.99,TRUE,TRUE,105.61625173313139,22.841708786528944,121.55267334000007,25.293518067000036,25.077267955795378,NE,344.2679848756809,N,10.55374826686861,17.148291213471058,-5.382673340000068,14.696481932999966,2159.5719686987486,1724.5894039011343,FALSE
8,Accipiter trivirgatus,Accipiter trivirgatus,no_lookup,Accipitriformes,Gansu,2020,105.4,32.6,TRUE,TRUE,105.61625173313139,22.841708786528944,104.66650390600006,23.298889160000044,358.92527459618765,N,3.8169088593828633,N,-0.21625173313138646,9.758291213471058,0.7334960939999462,9.301110839999957,1088.4924525873614,1010.953449825841,FALSE
9,Accipiter trivirgatus,Accipiter trivirgatus,no_lookup,Accipitriformes,Henan,2008,114.25,31.95,TRUE,TRUE,105.61625173313139,22.841708786528944,113.05529785100009,22.758483887000068,38.17130788697921,NE,6.317224534333775,N,8.633748266868608,9.108291213471055,1.1947021489999088,9.191516112999931,1321.8770031390425,1026.0677838502502,FALSE
10,Accipiter trivirgatus,Accipiter trivirgatus,no_lookup,Accipitriformes,Liaoning,2017,121.14,38.73,TRUE,TRUE,105.61625173313139,22.841708786528944,121.56732177700007,25.298278809000067,36.24395077059228,NE,358.5652675010221,N,15.523748266868608,15.888291213471053,-0.4273217770000741,13.43172119099993,2300.812300332706,1509.8769822577447,FALSE
11,Accipiter trivirgatus,Accipiter trivirgatus,no_lookup,Accipitriformes,Shaanxi,1997,107.67,33.55,TRUE,FALSE,105.61625173313139,22.841708786528944,104.84667968700006,23.26647949200003,9.121517079619593,N,12.922060190027764,N,2.0537482668686096,10.708291213471053,2.8233203129999396,10.283520507999967,1211.9300349667942,1180.6215833315093,FALSE
12,Accipiter virgatus,Accipiter virgatus,no_lookup,Accipitriformes,Anhui,2011,117.12,31.77,TRUE,TRUE,106.19869370066273,26.87768973790472,118.98687744200004,27.66772460900006,60.200853325497576,NE,338.8919605105955,N,10.921306299337274,4.892310262095279,-1.8668774420000318,4.102275390999939,1183.0332374195787,493.3393955496832,FALSE
13,Aquila fasciata,Aquila fasciata,no_lookup,Accipitriformes,Liaoning,2015,121.14,38.73,TRUE,TRUE,114.96107785886505,25.402792511500685,120.9163208010001,31.209899902000075,19.86020406181916,N,1.3330131961139386,N,6.178922141134947,13.327207488499312,0.2236791989999034,7.520100097999922,1603.4142072282452,849.0857812104074,FALSE
14,Aquila fasciata,Aquila fasciata,no_lookup,Accipitriformes,Shaanxi,2020,110.01,32.85,TRUE,TRUE,114.96107785886505,25.402792511500685,116.25488281300011,28.268676758000026,331.0289406882558,NW,311.98359695834847,NW,-4.951077858865048,7.447207488499316,-6.244882813000103,4.581323241999975,960.0513747299332,783.4157556180367,FALSE
15,Aquila heliaca,Aquila heliaca,no_lookup,Accipitriformes,Hunan,2021,110.87,29.98,TRUE,TRUE,98.04660645752922,47.903889331002354,119.17168622959893,50.05570716360881,146.61444817315737,SE,200.3994961136474,S,12.823393542470782,-17.923889331002353,-8.301686229598928,-20.075707163608808,2289.3055727117658,2357.07078463714,FALSE
16,Aquila heliaca,Aquila heliaca,no_lookup,Accipitriformes,Ningxia,2019,106.51,38.55,TRUE,TRUE,98.04660645752922,47.903889331002354,119.17168622959893,50.05570716360881,143.61602462246003,SE,222.83649143753786,SW,8.463393542470783,-9.353889331002357,-12.661686229598928,-11.505707163608811,1249.767220697414,1628.5354954400013,FALSE
