record_id,species,order_raw,order_cn,province_cn,province_en_raw,year,year_in_scope,iucn_raw,discover_cause_raw,discovery_method_raw,longitude,latitude,order,province,iucn,discover_reason,discovery_method,paper_id,species_cn,english_name,naming_time,identity_source,identity_change_flag,duplicate_group_size,keep_record,coord_status,family,discovery_sites,habitat,altitude,migratory_status,china_red_list,endemic,source_title,source_journal,source_authors,doi,link
255,Calidris tenuirostris,CHARADRIIFORMES,CHARADRIIFORMES,NA,Yunnan,2015,TRUE,EN,Range Shift,Field Observation and Photography,102.72,24.77,Charadriiformes,Yunnan,EN,Range shift or distribution change,Field Observation and Photography,New Bird Record of Great Knot in Yunnan Province,大滨鹬,Great Knot,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"Dianchi Lakeside Wetland, Jinning County, Kunming, Yunnan Province, China",Wetland,1888 m,Full Migrant,EN,NO,New Bird Record of Great Knot in Yunnan Province,Sichuan Journal of Zoology,Wang Rongxing; Yang Xiaojun,NA,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPUIV1l_WYKOdWWm3AnYhnzMJD1wXAY11pxaTVRrx8iwbhGyoddBQXKid0vyoWjbJY_H0xk4FtiZcB_a1o-D3bz4acYKhNeG1cS6b8tMBKerh2PAa8PVZHB3sceFImwpkI5EmfIwHUqaNLnZm4koZZjiGcFmRs5E00puGcdWlgxUcIQ==&uniplatform=NZKPT&language=CHS
256,Limnodromus scolopaceus,CHARADRIIFORMES,CHARADRIIFORMES,NA,Guangxi,2009,TRUE,VU,Range Shift And Insufficient Survey Effort,Field Observation and Photography,108.83,21.62,Charadriiformes,Guangxi,VU,Mixed: range change + survey/technology,Field Observation and Photography,Two New Records of Birds in Guangxi,长嘴半蹼鹬,Long-Billed Dowitcher,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"Seaside Aquaculture Pond, Dengwu Village, Xiniujiao Town, Qinnan District, Qinzhou, Guangxi, China",Artificial Habitat,NA,Full Migrant,DD,NO,Two New Records of Birds in Guangxi,Journal of Guangxi Academy of Sciences,Sun Renjie; Wang Guangjun; Tang Shangbo; Song Chao; Mo Guowei,10.13656/j.cnki.gxkx.2006.01.021,NA
257,Limnodromus scolopaceus,CHARADRIIFORMES,CHARADRIIFORMES,NA,Heilongjiang,2012,TRUE,VU,Range Shift,Field Observation and Photography,122.05,51.38,Charadriiformes,Heilongjiang,VU,Range shift or distribution change,Field Observation and Photography,New Bird Records in Northeast China,长嘴半蹼鹬,Long-Billed Dowitcher,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"Longfeng Wetland Nature Reserve, Daqing, Heilongjiang Province, China",Wetland,NA,Full Migrant,DD,NO,New Bird Records in Northeast China,Sichuan Journal of Zoology,Li Xianda; Dong Yi,NA,https://kns.cnki.net/kcms2/article/abstract?v=x5ZT7qxuO_r-u-Ow8EBsTdV9nHYfydsrMhJAXRB3J-jLU_RuZWMMCWHE3p6cfH9ojT--q54NdZuE8sivV_lQ7dd_zWLaftmZ4cn3QgsVARbbY-PzPVQ-FcPTCGpEGj6tMLXXP-fllWntc-69GdkWcRFRheBasQ3qyU_yvfKipdhGq5q_9F2hKw==&uniplatform=NZKPT&language=CHS
258,Limnodromus scolopaceus,CHARADRIIFORMES,CHARADRIIFORMES,NA,Hubei,2014,TRUE,VU,Range Shift,Field Observation and Photography,114.41,30.43,Charadriiformes,Hubei,VU,Range shift or distribution change,Field Observation and Photography,"First Record of Long-billed Dowitcher in Wuhan, Hubei Province",长嘴半蹼鹬,Long-Billed Dowitcher,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"Tangxun Lake Qianmutang, Jiangxia District, Wuhan, Hubei Province, China",Rivers/Lakes/Water Bodies,NA,Full Migrant,DD,NO,"First Record of Long-billed Dowitcher in Wuhan, Hubei Province",Chinese Journal of Zoology,Lei Jinyu; Zhang Shuyong,10.13859/j.cjz.201404025,NA
259,Limnodromus scolopaceus,CHARADRIIFORMES,CHARADRIIFORMES,NA,Liaoning,2010,TRUE,VU,NA,Net Capture Record,123.93,39.82,Charadriiformes,Liaoning,VU,Other,Net Capture Record,Four New Bird Distribution Records for the Liaoning Province,长嘴半蹼鹬,Long-Billed Dowitcher,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"Site 5, Yalu River Estuary Wetland Nature Reserve, Liaoning Province, China",Wetland,0 m,Full Migrant,DD,NO,Four New Bird Distribution Records for the Liaoning Province,Chinese Journal of Zoology,Bai Qingquan; Cai Zhiyang; Zhang Shoudong,10.13859/j.cjz.201904017,NA
260,Limnodromus scolopaceus,CHARADRIIFORMES,CHARADRIIFORMES,NA,Shaanxi,2018,TRUE,VU,Range Shift,Field Observation and Photography,110.2,34.95,Charadriiformes,Shaanxi,VU,Range shift or distribution change,Field Observation and Photography,New Bird Record of Long-billed Dowitcher in Shaanxi Province,长嘴半蹼鹬,Long-Billed Dowitcher,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"Fishpond, Yellow River Wetland, Dali County, Weinan, Shaanxi Province, China",Wetland,339 m,Full Migrant,DD,NO,New Bird Record of Long-billed Dowitcher in Shaanxi Province,Sichuan Journal of Zoology,Zang Xiaobo; Yao Dongwu; Gao Guozhe; Yang Yaqiao,NA,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPUINhIyGwEpybRoPQSEzfq39Ga_yubOXJ9uIigdk9kW4L4lq4I8yQZkIGiBsjYJN4uubcP7_A2dGyfgAsIwMq00g3vekkrWmWWMaGJAtePUoAznIRHYXcJvFA6LcGlnFUTU1LLXjsLYAIhRxqhsQHb93PRhq2Vz3QHWE26P1kDiCqA==&uniplatform=NZKPT&language=CHS
261,Limnodromus scolopaceus,CHARADRIIFORMES,CHARADRIIFORMES,NA,Sichuan,2012,TRUE,VU,NA,Field Observation and Photography,104.3,30.98,Charadriiformes,Sichuan,VU,Other,Field Observation and Photography,"Long-billed Dowitcher Limnodromus scolopaceus and Parasitic Jaeger Stercorarius parasiticus Observed in Guanghan, Sichuan Province",长嘴半蹼鹬,Long-Billed Dowitcher,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"Huangjianian River Section, Jianjiang River, Yazi River Wetland Nature Reserve, Guanghan, Sichuan Province, China",Wetland,16 m,Full Migrant,DD,NO,"Long-billed Dowitcher Limnodromus scolopaceus and Parasitic Jaeger Stercorarius parasiticus Observed in Guanghan, Sichuan Province",Chinese Journal of Zoology,Zhang Jun; Zhang Ming; Niu Shujun; Que Pinjia,10.13859/j.cjz.201701023,NA
262,Limnodromus semipalmatus,CHARADRIIFORMES,CHARADRIIFORMES,NA,Shaanxi,2019,TRUE,NT,Range Shift,Field Observation and Photography,109.42,34.8,Charadriiformes,Shaanxi,NT,Range shift or distribution change,Field Observation and Photography,New Bird Record of Willet in Shaanxi Province,半蹼鹬,Asian Dowitcher,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"Yishaijianchi, Jingyao Town, Pucheng County, Weinan, Shaanxi Province, China",Artificial Habitat,362 m,Full Migrant,NT,NO,New Bird Record of Willet in Shaanxi Province,Sichuan Journal of Zoology,Zang Xiaobo; Yang Yaqiao,NA,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPUJi-Cjwe8-mB5WxC6AJxl4tzIOCLT1OzNYYM1HM3hKpPaIRrPlRBHli7ex89KEr_0vhaQ1izl52_16k2ftp8JlogGhpW9kVFHZ0YHM3bMiILf-jCh1WSA8XWOVwNVebR-em2v_gRNYLrd0xqTi5D0Tvcynd3zGt82HGLOezn-EDUQ==&uniplatform=NZKPT&language=CHS
263,Limnodromus semipalmatus,CHARADRIIFORMES,CHARADRIIFORMES,NA,Xinjiang,2010,TRUE,NT,Range Shift,Field Observation and Photography,84.92,44.48,Charadriiformes,Xinjiang,NT,Range shift or distribution change,Field Observation and Photography,A new bird record in Xinjiang — Limnodromus semipalmatus,半蹼鹬,Asian Dowitcher,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"Quangou Sewage Pond, Kuitun, Xinjiang, China",Artificial Habitat,390m,Full Migrant,NT,NO,A new bird record in Xinjiang — Limnodromus semipalmatus,Arid Land Geography,Wen Zhimin; Ma Ming; Zhao Bo; Gou Jun; Xu Jie; Lv Ronghua,10.13826/j.cnki.cn65-1103/x.2011.02.002,https://link.cnki.net/doi/10.13826/j.cnki.cn65-1103/x.2011.02.002
264,Limosa lapponica,CHARADRIIFORMES,CHARADRIIFORMES,NA,Yunnan,2013,TRUE,NT,Range Shift,Field Observation and Photography,102.59,24.65,Charadriiformes,Yunnan,NT,Range shift or distribution change,Field Observation and Photography,New Bird Records in Yunnan Province,斑尾塍鹬,Bar-Tailed Godwit,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"Kunyang Town, Jinzhu County, Kunming, Yunnan Province, China",Artificial Habitat,1892 m,Full Migrant,NT,NO,New Bird Records in Yunnan Province,Sichuan Journal of Zoology,Li Jiming; Wang Rongxing,NA,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPUIh26AtWBTW7TPv2t5i9qdMGnuBvGkr0cbVKDgaxTzcjm5zGgFBPr8bOzzzX8zHYTTc6cO1Wsplw28ut8TMtm9UuUHE4EfzjPoHNWQkXCHfvDyHHcdym6GOrHz64uK6Nb1HELV9sTN4s1NqD5CstM_Bm_Uh722GxFpwXMbRcaDHvg==&uniplatform=NZKPT&language=CHS
265,Limosa limosa,CHARADRIIFORMES,CHARADRIIFORMES,NA,Ningxia,2011,TRUE,NT,Range Shift,Specimen Collection,106.46,38.87,Charadriiformes,Ningxia,NT,Range shift or distribution change,Specimen Collection,4 new bird record in Ningxia,黑尾塍鹬,Black-Tailed Godwit,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"South Side, Lotus Pond, Shahu Tourist Area, Pingluo County, Ningxia, China",Rivers/Lakes/Water Bodies,NA,Full Migrant,LC,NO,4 new bird record in Ningxia,Journal of Agricultural Sciences,Du Tiankui; Ma Jinfeng,NA,https://kns.cnki.net/kcms2/article/abstract?v=x5ZT7qxuO_pV3BQMS2-w7nJxqB_Fhp-tp0lF8XUlfvetRZ-vcVZizU6M23s35Gd2YkEVgeLM1Wk8z8iVCQuE9YzzYf5ip7O_nwRtUlmAIeCtTxytaFxdTfJ9yYsMYYKyAtljY0ewuaQR3cbdVE5WidEGaMuBGEXdT82FvtF56cO7wCLOB6qrRA==&uniplatform=NZKPT&language=CHS
266,Numenius madagascariensis,CHARADRIIFORMES,CHARADRIIFORMES,NA,Shaanxi,2000,TRUE,EN,Range Shift,Field Observation and Photography,107.52,33.19,Charadriiformes,Shaanxi,EN,Range shift or distribution change,Field Observation and Photography,Seven New Bird Records for Shaanxi Province,大杓鹬,Far Eastern Curlew,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"Han River Tan, Moshiqiao Town, Yang County, Shaanxi Province, China",Rivers/Lakes/Water Bodies,NA,Full Migrant,VU,NO,Seven New Bird Records for Shaanxi Province,Journal of Shaanxi Normal University (Natural Science Edition),Gong Huisheng; Xiong Baiquan,10.15983/j.cnki.jsnu.2007.s1.008,https://link.cnki.net/doi/10.15983/j.cnki.jsnu.2007.s1.008
267,Numenius minutus,CHARADRIIFORMES,CHARADRIIFORMES,NA,Gansu,2025,TRUE,LC,Range Shift,Field Observation and Photography,101.01,38.81,Charadriiformes,Gansu,LC,Range shift or distribution change,Field Observation and Photography,New Bird Records in Gansu Province,小杓鹬,Little Curlew,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"Mudflat Along The Shore Of Qijiadian Reservoir, Shandan County, Zhangye, Gansu Province, China",Wetland,1674.4 m,Full Migrant,NT,NO,New Bird Records in Gansu Province,Sichuan Journal of Zoology,Sheng Peixian; Liu Boye,NA,https://kns.cnki.net/kcms2/article/abstract?v=x5ZT7qxuO_ow0yj9OBWgATHHf6giwq84V2FZE0qbX3iCGHHhKWDFiL4XsLsMw11VQctad3ua-E3yho8ePxh2NwJBqXh_xjQBrmLsAmxuOhbGE0mCw2bNjLUDvHSmNsg-MGwAKZGwMejuV7ewiWyM9qfus8sOMlOwdQoTupXPn_iJMko5HaPFVA==&uniplatform=NZKPT&language=CHS
268,Numenius phaeopus,CHARADRIIFORMES,CHARADRIIFORMES,NA,Yunnan,2012,TRUE,LC,Range Shift,Field Observation and Photography,102.67,24.97,Charadriiformes,Yunnan,LC,Range shift or distribution change,Field Observation and Photography,New Bird Records in Yunnan Province,中杓鹬,Whimbrel,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"Nanyuan, North Bank, Dianchi Lake, Kunming, Yunnan Province, China",Mixed Habitat,NA,Full Migrant,LC,NO,New Bird Records in Yunnan Province,Sichuan Journal of Zoology,Zhao Xuebing; He Zhixue; Wang Ying; Wang Zijiang,NA,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPULs1VZlpOYIMb76yJIb8manWJf1mLd7RIm9olBXGfX2-z3COu-BjnYFMKYZJRmbJpOxCNh8lOt4Q3znrAQhFw2qHjZNCTZHZQqOV2GhjUikIzhJVtFP98YU_nqJxclo928rCwF_J2hn8cOQjKAAkFxNZfsIIMqCHQQArD_rLwNbyQ==&uniplatform=NZKPT&language=CHS
269,Phalaropus fulicarius,CHARADRIIFORMES,CHARADRIIFORMES,NA,Beijing,2010,TRUE,LC,Range Shift,Field Observation and Photography,116.31,40.13,Charadriiformes,Beijing,LC,Range shift or distribution change,Field Observation and Photography,New Bird Records in Beijing,灰瓣蹼鹬,Red Phalarope,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"North Bank, Shahe Reservoir, Changping District, Beijing, China",Rivers/Lakes/Water Bodies,36 m,Full Migrant,LC,NO,New Bird Records in Beijing,Sichuan Journal of Zoology,Fang Yang; Guan Xiangyu; Chai Wenhan,NA,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPUJDVi_Fl5ZGrfd1T4gA_QT5bmo1FdSSJ2Ai_PIqRAIlZYCGGkeaArx8Cz2ga28rZFN0FwEn-8lYaoLNx9cezivDS3RAJfDx37peeJKeK9ddk1OgoRoufU701XdcaT5AmHTnXAYrPyPKnWAkRXWKkYdqat9a1mZ6h-4EjLdkFN1CFA==&uniplatform=NZKPT&language=CHS
270,Phalaropus fulicarius,CHARADRIIFORMES,CHARADRIIFORMES,NA,Hainan,2022,TRUE,LC,NA,Field Observation and Photography,110.37,20.02,Charadriiformes,Hainan,LC,Other,Field Observation and Photography,Phalaropus lobatus Found in Hainan Province,灰瓣蹼鹬,Red Phalarope,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"Sandy Ground, Old Shipyard, Xinbu Island, Haikou, Hainan Province, China",Sandy Land/Desert,NA,Full Migrant,LC,NO,Phalaropus lobatus Found in Hainan Province,Chinese Journal of Zoology,Cheng Cheng; Liang Jinquan; Li Fei; Lu Gang; Ren Rongxia,10.13859/j.cjz.202303020,https://link.cnki.net/doi/10.13859/j.cjz.202303020
271,Phalaropus fulicarius,CHARADRIIFORMES,CHARADRIIFORMES,NA,Henan,2013,TRUE,LC,Range Shift,Field Observation and Photography,112.51,32.95,Charadriiformes,Henan,LC,Range shift or distribution change,Field Observation and Photography,A New Bird Record for Henan Province: Red Phalarope,灰瓣蹼鹬,Red Phalarope,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"Below No. 4 Rubber Dam, Baihe National Urban Wetland Park, Nanyang, Henan Province, China",Wetland,116 m,Full Migrant,LC,NO,A New Bird Record for Henan Province: Red Phalarope,Sichuan Journal of Zoology,Liang Zian; Wang Qinghe; Deng Tianpeng; Wang Chunping; Zhao Haipeng,NA,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPUK1RB6jPfw9XEMA6pV9JVJUMlLuOYumehKi8e38QHTmOt6MBRTcDRppGAm19gTo6Y3qbchkjjGKaWSIZc4LkifLSCwytznyl4g0xZjd7t6m_gQzDmHM5QY20PQwE4-CJbq2Ak5WA28o1MLTk1_fS5_VYCX_ZGo40jA7f7KoAQmpsA==&uniplatform=NZKPT&language=CHS
272,Phalaropus fulicarius,CHARADRIIFORMES,CHARADRIIFORMES,NA,Sichuan,2011,TRUE,LC,Range Shift,Field Observation and Photography,100.77,30.05,Charadriiformes,Sichuan,LC,Range shift or distribution change,Field Observation and Photography,New Bird Records in Sichuan Province,灰瓣蹼鹬,Red Phalarope,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"Xiacun Power Station Reservoir, Chengxiang Town, Tianquan County, Ya'an, Sichuan Province, China",Rivers/Lakes/Water Bodies,749 m,Full Migrant,LC,NO,New Bird Records in Sichuan Province,Sichuan Journal of Zoology,Liu Zhenxiang; Yin Housheng,NA,https://kns.cnki.net/kcms2/article/abstract?v=x5ZT7qxuO_o_NQPgRJ8xebyngXHpKyGGmfAwji7YoI9LVhhRyUnM3woFDT0OdTjF32PI33cs2XIry5370rmlYAgF72xnwbBtbqa4_oVjkVy_b4u4mmfH_aAaTUKzwYGSM_GP2aMVhhI79rY3GKEMJI4lpiPGkKpyiIVt0E63H86JPPo7yNtjlQ==&uniplatform=NZKPT&language=CHS
273,Phalaropus lobatus,CHARADRIIFORMES,CHARADRIIFORMES,NA,Guizhou,2022,TRUE,LC,Range Shift,Field Observation and Photography,104.94,25.09,Charadriiformes,Guizhou,LC,Range shift or distribution change,Field Observation and Photography,Two new records of bird species in Guizhou Province：Ficedula Erythacus and Phalaropus lobatus,红颈瓣蹼鹬,Red-Necked Phalarope,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"Yongxing Village, Jushan Subdistrict, Suburban Xingyi, Qianxinan Prefecture, Guizhou Province, China",Wetland,1142m,Full Migrant,LC,NO,Two new records of bird species in Guizhou Province：Ficedula Erythacus and Phalaropus lobatus,Chinese Bulletin of Life Sciences,Li Yi; Wu Zhongrong; Zhang Haibo; Kuang Zhongfan; Zhang Weimin,NA,https://kns.cnki.net/kcms2/article/abstract?v=x5ZT7qxuO_o4sVkIXBcdHqc3l45vchihGZF_xVVj7sr2mNb1IvxsNZTInySEULjikWHbwIOON63rYS7pQyILNvqC0GIcQzGQV9823uLeqhbEaA2jKmDbvbIZvzZnz-g4g_IHb6Ve4_UkQRQ8wnv-leMGVF2LYW5wN9mFftiyYBoISSpzFheWmA==&uniplatform=NZKPT&language=CHS
274,Phalaropus lobatus,CHARADRIIFORMES,CHARADRIIFORMES,NA,Henan,2014,TRUE,LC,Range Shift,Field Observation and Photography,112.51,32.95,Charadriiformes,Henan,LC,Range shift or distribution change,Field Observation and Photography,"Red-necked Phalarope Found in Nanyang, Henan Province",红颈瓣蹼鹬,Red-Necked Phalarope,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"Below No. 4 Rubber Dam, Baihe National Urban Wetland Park, Nanyang, Henan Province, China",Wetland,116 m,Full Migrant,LC,NO,"Red-necked Phalarope Found in Nanyang, Henan Province",Chinese Journal of Zoology,Han Xuemei; Liang Zian; Wang Qinghe; Yan Guanglan,10.13859/j.cjz.201504020,NA
275,Phalaropus lobatus,CHARADRIIFORMES,CHARADRIIFORMES,NA,Jiangxi,2007,TRUE,LC,Range Shift,Field Observation and Photography,113,25,Charadriiformes,Jiangxi,LC,Range shift or distribution change,Field Observation and Photography,"Slaty-legged Crake and Red-necked Phalarope：Two New Bird Records from Jiangxi Province, China",红颈瓣蹼鹬,Red-Necked Phalarope,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"Wetland, Suichuan Shaziling Airport Vicinity, Jiangxi Province, China",Wetland,1 132 m,Full Migrant,LC,NO,"Slaty-legged Crake and Red-necked Phalarope：Two New Bird Records from Jiangxi Province, China",Zoological Research,Zhong Pinghua; Shao Mingqin; Dai Nianhua; Ceng Fanwei,10.3724/SP.J.1141.2009.01016,NA
276,Phalaropus lobatus,CHARADRIIFORMES,CHARADRIIFORMES,NA,Shaanxi,2014,TRUE,LC,Range Shift,Field Observation and Photography,109.39,34.79,Charadriiformes,Shaanxi,LC,Range shift or distribution change,Field Observation and Photography,New Bird Records in Shaanxi Province,红颈瓣蹼鹬,Red-Necked Phalarope,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"Pucheng Luyanghu National Wetland Park, Shaanxi Province, China",Wetland,NA,Full Migrant,LC,NO,New Bird Records in Shaanxi Province,Sichuan Journal of Zoology,Luo Lei; Liang Bo; Han Ning; Hou Yubao; Gao Xuebin; David S MELVILLE,NA,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPULCGyp-5NPcvor33ePNf6Bfz7MYl15gdrQckNPoEDmJXxdKl8R9y8V4kQ4f7wdO_sBpvowj3_tbRI6TlE7tKXlLPbBPOoDhnoAW2gUoX377pZad041BoraOq46qqwTrylMjs8Lfe-vGsFaHLmVSIc8laB1F1oMpSKulMn1O1dWXZw==&uniplatform=NZKPT&language=CHS
277,Phalaropus lobatus,CHARADRIIFORMES,CHARADRIIFORMES,NA,Sichuan,2011,TRUE,LC,Range Shift,Field Observation and Photography,104.07,30.58,Charadriiformes,Sichuan,LC,Range shift or distribution change,Field Observation and Photography,New Bird Records in Sichuan Province,红颈瓣蹼鹬,Red-Necked Phalarope,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"River Channel, Sewage Outlet Vicinity, Wastewater Treatment Plant, Chengdu, Sichuan Province, China",Wetland,482 m,Full Migrant,LC,NO,New Bird Records in Sichuan Province,Sichuan Journal of Zoology,Liao Ying; Chen Shunde; Li Xia; Wang Qiong; Li Tao; Li Ming; Shen You,NA,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPULQ8Jqs83yxUTy6_SnsStsk0EJDvfkAEQixZyHTTsoMSCsYqIFp-Q1wNG06-9JiOZSgo9krYnrfZVVJ2SeMEGy0eRpzehCngEL1tXoKVifutWVHthP7_nqSueqV5x5hCzpSqxWPiR2tx3PqVqktOsrf0AGjjFGCOeXkK82TFve6MA==&uniplatform=NZKPT&language=CHS
278,Tringa brevipes,CHARADRIIFORMES,CHARADRIIFORMES,NA,Sichuan,2013,TRUE,LC,Range Shift,Field Observation and Photography,102.76,30.05,Charadriiformes,Sichuan,LC,Range shift or distribution change,Field Observation and Photography,New Bird Records in Sichuan Province,灰尾漂鹬,Grey-Tailed Tattler,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"Wu Group, Xiangyang Village, Tianquan County, Ya'an, Sichuan Province, China",Wetland,736 m,Full Migrant,LC,NO,New Bird Records in Sichuan Province,Sichuan Journal of Zoology,Yin Housheng; Liu Zhenxiang; Han Bin; Ke Zunjun,NA,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPUKKGf1hnOHNfN50xJyMYeGsLw_QyL1HoaJQ9CIhpgMyWPRfMnioLz8OsP0I4gZg_x7iD8PRzhydd3bYZOBtxb2YCstQJNrCQ5peLZ0nlyaK-lmW5N0mbCMYGBwDhBPkNMkaqLvA8_HfRYsSoMCN9RHULeSiZ-CL96qGhgIrwK1DVg==&uniplatform=NZKPT&language=CHS
279,Tringa guttifer,CHARADRIIFORMES,CHARADRIIFORMES,NA,Liaoning,2006,TRUE,EN,Range Shift,Field Observation and Photography,124.03,39.82,Charadriiformes,Liaoning,EN,Range shift or distribution change,Field Observation and Photography,New Bird Record of Nordmann’s Greenshank and Intermediate Egret in Northeast China,小青脚鹬,Spotted Greenshank,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"Birdwatching Garden, Yalu River Estuary Wetland, Liaoning Province, China; Nearby Aquaculture Ponds, Liaoning Province, China",Coastal/Marine Habitat,NA,Full Migrant,EN,NO,New Bird Record of Nordmann’s Greenshank and Intermediate Egret in Northeast China,Chinese Journal of Wildlife,Bai Qingquan; Liu Bowen,10.19711/j.cnki.issn2310-1490.2006.06.015,NA
280,Tringa stagnatilis,CHARADRIIFORMES,CHARADRIIFORMES,NA,Guizhou,2021,TRUE,LC,NA,Field Observation and Photography,109.22,27.82,Charadriiformes,Guizhou,LC,Other,Field Observation and Photography,"Marsh Sandpiper Found in Tongren, Guizhou Province",泽鹬,Marsh Sandpiper,NA,raw_table,FALSE,1,TRUE,valid,Scolopacidae,"Jiefang Reservoir, Yunpan Village, Chuantong Town, Bijiang District, Tongren, Guizhou Province, China",Wetland,NA,Full Migrant,LC,NO,"Marsh Sandpiper Found in Tongren, Guizhou Province",Chinese Journal of Zoology,Mi Xiaoqi; Li Fei,10.13859/j.cjz.202321279,https://link.cnki.net/doi/10.13859/j.cjz.202321279
281,Stercorarius longicaudus,CHARADRIIFORMES,CHARADRIIFORMES,NA,Jiangsu,2016,TRUE,LC,Range Shift And Insufficient Survey Effort,Field Observation and Photography,120.64,32.67,Charadriiformes,Jiangsu,LC,Mixed: range change + survey/technology,Field Observation and Photography,A New Family Record of Birds in Jiangsu Province: Stercorariidae,长尾贼鸥,Long-Tailed Jaeger,NA,raw_table,FALSE,1,TRUE,valid,Stercorariidae,"North Side, Fangtang Estuary, Jiangsu Province, China",Coastal/Marine Habitat,NA,Full Migrant,LC,NO,A New Family Record of Birds in Jiangsu Province: Stercorariidae,Sichuan Journal of Zoology,Zhang Lin; Remco Steggerda; Tapio Aalto,NA,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPULSwFDUlL0AxH-n7u5qfa_nR_w8zkRW6Cgh5v8iSL3UtfEIkYEsYGSaPLgKXPeESUOcy3yEmpZjpZRtpN_YOtjDWuMJvlpm56bJbaAjhTiEMEQGbIypSWawnjjRCVzZgQg4h9wWbTdhd8510dZRk_sR4clns0IVcK9eIrU1rGFCbA==&uniplatform=NZKPT&language=CHS
282,Stercorarius parasiticus,CHARADRIIFORMES,CHARADRIIFORMES,NA,Hunan,2018,TRUE,LC,NA,Field Observation and Photography,110.77,29.93,Charadriiformes,Hunan,LC,Other,Field Observation and Photography,Parasitic Jaeger Found in Hunan Province,短尾贼鸥,Arctic Jaeger,NA,raw_table,FALSE,1,TRUE,valid,Stercorariidae,"Wangyuehu Reservoir, Hupingshan National Nature Reserve, Hunan Province, China",Forest,NA,Full Migrant,LC,NO,Parasitic Jaeger Found in Hunan Province,Chinese Journal of Wildlife,He Chunrong; Kang Zujie; Li Hewen; Tang Gengchao; Wen Zhe; Yang Daode,10.19711/j.cnki.issn2310-1490.2019.03.032,https://link.cnki.net/doi/10.19711/j.cnki.issn2310-1490.2019.03.032
283,Stercorarius parasiticus,CHARADRIIFORMES,CHARADRIIFORMES,NA,Inner Mongolia,2019,TRUE,LC,Range Shift,Field Observation and Photography,123.08,46.22,Charadriiformes,Inner Mongolia,LC,Range shift or distribution change,Field Observation and Photography,New Record Bird of Stercorarius parasiticus in Inner Mongolia,短尾贼鸥,Arctic Jaeger,NA,raw_table,FALSE,1,TRUE,valid,Stercorariidae,"Southwestern Side Grassland, Sandaopaozi Core Area, Tumuji National Nature Reserve, Zhalaite Banner, Xingan League, Inner Mongolia, China",Grassland/Shrubland,NA,Full Migrant,LC,NO,New Record Bird of Stercorarius parasiticus in Inner Mongolia,Journal of Inner Mongolia Normal University (Natural Science Edition),Zhao Geriletu; Wu Yunbilige; Wang Mingyuan,10.3969/j.issn.1001-8735.2019.05.001,https://kns.cnki.net/kcms2/article/abstract?v=x5ZT7qxuO_oYg8_0gz3X95ZbPhVyzadKqPAVVKC896mVQbyXdZIbwQwDNn7rm7vTQJQklXD_ygMZ5M4m-od9rfjQ2RmcbRg2OHvnSgsIy3dtmzN7RxM_haDvkrguU8fNvStofhouLifdtPqZ9Tu9Ju5xwKh-h-G0VWJVmLaF932GfAJnG6GoknSsntEpkn7D&uniplatform=NZKPT&language=CHS
